timestamp,coin,headline,description,source,price_usd,open,high,low,close
2025-04-19T10:33:05Z,ETH,"Are Ethereum traders on edge? Yes, but look out for THIS key level!","Whale accumulation has slowed down as leverage rose, signaling high-risk positioning before a breakout
- Ethereum burn rate dropped sharply too, weakening the network’s deflationary support
Ethereum [ETH], at the time of writing, seemed to be consolidating wi…",Biztoc.com,1617.63515,1600.94,1605.23,1598.5,1602.95
2025-04-19T10:44:00Z,BTC,"Rich Dad Poor Dad author predicts $1M Bitcoin, warns millions will be left poor","Finance guru Robert Kiyosaki warns the U.S. is heading into a ""Greater Depression"" and urges followers to act fast.",TheStreet,85581.783333,85217.38,85396.0,85115.45,85311.63
2025-04-19T11:11:04Z,BTC,Best Altcoins to Watch as Bitcoin Whales Return and Bullish Forecasts Soar,"Bitcoin whales are buying again, and that’s rarely a quiet signal. Large holders are scooping up $BTC at levels not seen since the last bull market, while mid-sized wallets are finally flipping bullish too. Add to that a bold prediction from crypto analyst Be…",Bitcoinist,85581.783333,85311.63,85436.72,85220.14,85328.12
2025-04-19T11:30:39Z,ETH,Ethereum Trades At Bear Market Lows: Fundamentals Signal Major Undervaluation,"Ethereum is trading below critical resistance levels after enduring weeks of heavy selling pressure and lackluster performance. Since breaking below the psychological $2,000 mark, the price has dropped more than 21%, signaling growing uncertainty among short-…",newsBTC,1617.63515,1602.96,1606.4,1597.66,1598.16
2025-04-19T11:45:21Z,BTC,Trader Michaël van de Poppe Says Bitcoin To Rally to New All-Time High Once There’s Clarity on These Two Matters,"A widely followed crypto analyst believes that Bitcoin (BTC) will print new all-time highs once there’s more clarity around two key issues. In a new thread, crypto trader Michaël van de Poppe tells his 783,300 followers on the social media platform X that Bit…",The Daily Hodl,85581.783333,85311.63,85436.72,85220.14,85328.12
2025-04-19T11:45:32Z,BTC,Binance CEO Confirms ‘Important’ Bitcoin Price Game-Changer,The chief executive of the world’s largest crypto exchange has said Binance is advising countries on following the U.S. in adopting bitcoin as a strategy reserve asset...,Forbes,85581.783333,85311.63,85436.72,85220.14,85328.12
2025-04-19T12:00:08Z,BTC,Bitcoin Price Volatility Ahead: Will BTC Crash Or Rally? Analysts Weigh In,"Although Bitcoin (BTC) continues to hold steady in the mid-$80,000 range, analysts are forecasting that significant volatility may be imminent for the leading cryptocurrency. That said, most analysts predict a potential price rally for the apex digital asset.…",Bitcoinist,85581.783333,85328.12,85343.22,85147.37,85250.0
2025-04-19T12:40:43Z,SOL,Trump Targets the Fed – Solaxy ($SOLX) Offers a Web3 Escape,"Donald Trump isn’t exactly known for subtlety, and now he’s aiming his wrecking ball straight at the Federal Reserve. The rumor mill is spinning fast – will President Trump really fire Jerome Powell? Anthony Pompliano, crypto investor and entrepreneur, says t…",Bitcoinist,128.3861,139.37,139.96,138.81,139.04
2025-04-19T12:45:45Z,BTC,Best Altcoins to Buy as Long-Term $BTC Holders Continue to Remain in Profit Despite Recent Turbulence,"Bitcoin has remained sideways for the last couple of months, tossing between the $88K and $75K levels. It hasn’t made any significant moves to either side. New data from Glassnode shows that short-term Bitcoin holders are sitting on significant unrealized los…",newsBTC,85581.783333,85328.12,85343.22,85147.37,85250.0
2025-04-19T13:00:35Z,XRP,"Ripple Takes Asia By Storm With New XRP Product, Here Are The Recent Developments","Ripple is again breaking into the Asia market with a new XRP product, which would help drive institutional adoption. This move has been made in partnership with HashKey Capital, which launched this fund in order to expand institutional access to the altcoin. …",newsBTC,2.097045,2.0845,2.0868,2.0801,2.0814
2025-04-19T13:01:02Z,BTC,What Is 'Idle Mine'? This Free iOS and Android Game Pays Real Bitcoin,Mobile game Idle Mine lets you earn real Bitcoin for mining fake gems on iOS and Android. Here’s how it works.,Decrypt,85581.783333,85249.99,85287.54,85118.08,85217.4
2025-04-19T13:07:54Z,BTC,Bitcoin can reach $138K in 3 months as macro odds see BTC price upside,"Bitcoin (BTC) faces “unprecedented” US dollar correlation as new BTC price research gives a $75,000 floor.In one of his latest analyses on April 18, network economist Timothy Peterson calculated that BTC/USD may rise as high as $138,000 within the next three …",Cointelegraph,85581.783333,85249.99,85287.54,85118.08,85217.4
2025-04-19T13:30:38Z,BTC,"Cardano Creator Charles Hoskinson Says These Catalysts Could Catapult Bitcoin to $250,000 by End of This Year","The founder of the Cardano (ADA) crypto project, Charles Hoskinson, is leaning bullish on Bitcoin (BTC). In a new CNBC interview, Hoskinson says that Bitcoin is not headed towards “another crypto winter” or a downturn. According to the Cardano creator, Bitcoi…",The Daily Hodl,85581.783333,85249.99,85287.54,85118.08,85217.4
2025-04-19T13:39:57Z,BTC,This Crypto Analyst Forecasts Bitcoin's Superiority Over Altcoins Until This Happens,"Crypto analyst Benjamin Cowen anticipates that Bitcoin (CRYPTO: BTC) will maintain its dominance over altcoins until there are alterations in the US monetary policy.
What Happened: In a video post on Wednesday, Cowen communicated his insights to his 892,000 Y…",Biztoc.com,85581.783333,85249.99,85287.54,85118.08,85217.4
2025-04-19T14:00:13Z,BTC,Bitcoin coils below $87K – But can THIS ignite a run to $100K?,"Bitcoin coils below $87.5K as whales stack billions—next stop $100K, or will momentum fade again?",Ambcrypto.com,85581.783333,85217.4,85324.72,85193.51,85295.43
2025-04-19T14:08:05Z,BTC,The Galaxy Brains of the Trump White House Want to Use Tariffs to Buy Bitcoin,"Critics on the right and left say the bitcoin reserve is a pointless industry handout — and using tariff revenue is even dumber.
The post The Galaxy Brains of the Trump White House Want to Use Tariffs to Buy Bitcoin appeared first on The Intercept.",The Intercept,85581.783333,85217.4,85324.72,85193.51,85295.43
2025-04-19T14:15:00Z,XRP,XRP to revisit its $1 'realized price'? These charts paint a bearish picture,"XRP (XRP) has bounced nearly 30% after a four-month low of $1.61 amid rising tariff tensions. However, the rebound may be short-lived as technical patterns and on-chain signals now point to a deeper correction ahead.XRP cup-and-handle pattern hints at 40% dro…",Cointelegraph,2.097045,2.0814,2.0851,2.08,2.0827
2025-04-19T14:31:02Z,BTC,UK firm buys $250M Bitcoin as analysts eye quiet Easter weekend,"Whales and institutions are increasing their Bitcoin holdings ahead of Easter, as market analysts predict a weekend with less volatility after two weeks of heightened volatility driven by escalating global trade tensions.London-based investment firm Abraxas C…",Cointelegraph,85581.783333,85217.4,85324.72,85193.51,85295.43
2025-04-19T14:57:27Z,BTC,Bitcoin coils below $87K – But can THIS ignite a run to $100K?,"Whales withdrew $250 million Bitcoin from exchanges, confirming institutional accumulation and reduced sell pressure.
- Exchange inflows dominate, but BTC price stability implies strategic repositioning, not panic selling.
Bitcoin’s [BTC] recent rally has ent…",Biztoc.com,85581.783333,85217.4,85324.72,85193.51,85295.43
2025-04-19T15:12:18Z,SOL,"Solana Overshadows Crypto Market, Bulls Press To Sustain 16% Weekly Jump","Digital assets sustained nominal gains to end the week, signaling prospects for a total recovery. Most assets consolidated on previous double-digit gains, breaking resistance levels as positive news bolstered trader confidence. The total digital asset market …",ZyCrypto,128.3861,138.79,139.63,138.52,139.57
2025-04-19T15:12:23Z,BTC,btc-lib 1.2.0,Simple Bitcoin Library,Pypi.org,85581.783333,85295.44,85498.77,85201.63,85472.54
2025-04-19T15:23:00Z,XRP,XRP News: XploraDEX Presale Enters Final 48 Hours—XRP’s Smartest Traders Are Locking In Before It’s Too Late,"ZURICH, Switzerland, April 19, 2025 (GLOBE NEWSWIRE) -- With just 2 days remaining, the XploraDEX $XPL presale
 is officially in its final hours and the XRP community knows it. Momentum has reached a peak, investor activity is exploding, and the last remaini…",GlobeNewswire,2.097045,2.0826,2.0899,2.0789,2.0884
2025-04-19T16:00:11Z,SOL,"Solana Price Bounces Off Critical Support Level — Is $2,000 Possible?","After enduring an unsteady period over the past few weeks, the cryptocurrency market appears to be finally settling, with most large-cap assets stabilizing within a consolidation range. The story was a little different for the Solana price, which is showing s…",newsBTC,128.3861,139.57,139.74,139.26,139.62
2025-04-19T16:05:46Z,BTC,On-Chain Metrics Suggest Bitcoin (BTC) Could Be Approaching Early Bear Market Phase: Glassnode,"New data from the market intelligence firm Glassnode suggests that Bitcoin (BTC) could be nearing an early bear market. In a new thread on the social media platform X, Glassnode says that the crypto king is flashing signs that historically predate its enterin…",The Daily Hodl,85581.783333,85472.53,85500.0,85357.54,85415.09
2025-04-19T16:30:48Z,ETH,"Ethereum Price Rally To Fail, Why A Crash Below $1,400 Is Coming","The Ethereum price continues to disappoint investors who expected that the second-largest cryptocurrency by market cap would have hit new all-time highs alongside Bitcoin crossing $100,000. However, this has not been the case as Ethereum has reversed violentl…",Bitcoinist,1617.63515,1604.47,1608.11,1603.0,1606.18
2025-04-19T16:37:18Z,BTC,Robert Kiyosaki's Bitcoin Forecast: Could $1 Million Be Realistic?,"Robert Kiyosaki, the well-known entrepreneur and author, has predicted that Bitcoin’s price will soon exceed $1 million.
What Happened: In a post on X on Friday, Kiyosaki, the author of the best-selling book Rich Dad Poor Dad, expressed the view that Bitcoin …",Biztoc.com,85581.783333,85472.53,85500.0,85357.54,85415.09
2025-04-19T16:48:14Z,BTC,How Trump’s Bitcoin Policies Are Making The U.S. A Crypto Superpower,"President Donald Trump is overhauling cryptocurrency regulations, updating tax policies and moving to start a national Bitcoin Reserve, putting the United States on the path to becoming the first G7 economy to fully embrace crypto.
“President Trump’s second a…",Biztoc.com,85581.783333,85472.53,85500.0,85357.54,85415.09
2025-04-19T16:59:21Z,BTC,This Crypto Analyst Predicts Bitcoin Could Soar 137% Under Perfect Market Conditions,"Cryptocurrency analyst Benjamin Cowen has proposed that Bitcoin (CRYPTO: BTC) could potentially see a 137% increase in a perfect market scenario.
What Happened: Cowen, during his discussion with Kyle Chasse, put forth that Bitcoin could reach up to $200,000 i…",Biztoc.com,85581.783333,85472.53,85500.0,85357.54,85415.09
2025-04-19T17:00:40Z,BTC,Bitcoin dominance crosses 64% in 4 years: 2021-style altcoin season to return?,"Is a rotation imminent – and if so, which altcoin leads the charge?",Ambcrypto.com,85581.783333,85415.1,85677.99,85070.0,85191.19
2025-04-19T17:06:38Z,XRP,Analyst Calls $4.5 XRP Price The Minimum Target for Ripple’s XRP In “Worst Case Scenario”,"Despite market uncertainty and a turbulent start to April, some popular crypto analysts remain optimistic about XRP’s long-term potential, even in bearish conditions. One such voice is Doctor Cat, a widely followed market analyst, who has set a minimum price …",ZyCrypto,2.097045,2.0834,2.0897,2.0759,2.0773
2025-04-19T17:15:22Z,BTC,Wallet Holding Bitcoin Since $284 Price Awakens After 10 Years,"A Bitcoin wallet that had remained dormant for an entire decade has suddenly sprung to life, according to blockchain tracking platform Lookonchain. In a tweet on Tuesday, the firm revealed that the wallet moved all 365 BTC, currently valued at around $29 mill…",ZyCrypto,85581.783333,85415.1,85677.99,85070.0,85191.19
2025-04-19T17:30:37Z,ETH,"Bitcoin Dominance At Risk Of Crash To 40%, Why This Is Good For Ethereum, XRP, And Altcoins",The Bitcoin dominance in the cryptocurrency market is inching dangerously close to a long-term resistance level that has triggered major reversals in the past. This resistance level is highlighted on the weekly BTC.D candlestick timeframe chart.  Each time th…,newsBTC,1617.63515,1606.17,1612.29,1603.26,1607.28
2025-04-19T17:30:37Z,BTC,"Bitcoin Dominance At Risk Of Crash To 40%, Why This Is Good For Ethereum, XRP, And Altcoins",The Bitcoin dominance in the cryptocurrency market is inching dangerously close to a long-term resistance level that has triggered major reversals in the past. This resistance level is highlighted on the weekly BTC.D candlestick timeframe chart.  Each time th…,newsBTC,85581.783333,85415.1,85677.99,85070.0,85191.19
